Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
GECINA;FR0010040865;GFC;"Euronext Paris";EUR;71.40;71.40;70.65;71.10;"15/05/2026 17:37";CET;248542;17658285.675;71.10;15/05/2026
GENESIS;ES0105807004;MLGNS;"Euronext Access Paris";EUR;1.58;1.58;1.58;1.58;"20/12/2024 00:00";CET;-;-;1.58;15/05/2026
GENFIT;FR0004163111;GNFT;"Euronext Paris";EUR;8.82;8.96;8.44;8.60;"15/05/2026 17:35";CET;228386;1984975.79;8.60;15/05/2026
GENOWAY;FR0004053510;ALGEN;"Euronext Growth Paris";EUR;2.50;2.50;2.41;2.41;"15/05/2026 17:35";CET;3365;8248.78;2.41;15/05/2026
"GENSIGHT BIOLOGICS";FR0013183985;SIGHT;"Euronext Paris";EUR;0.085;0.0874;0.0847;0.0853;"15/05/2026 17:35";CET;485239;41679.08895;0.0853;15/05/2026
"GENSIGHT BSA";FR0014010IB4;SIGBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0545;15/05/2026
"GENTLEMENS EQUITY";PTGVE1AM0017;MLGEQ;"Euronext Access Paris";EUR;0.27;0.27;0.27;0.27;"14/05/2026 11:30";CET;100;27.00;0.27;15/05/2026
"GETLINK SE";FR0010533075;GET;"Euronext Paris";EUR;18.50;18.55;18.31;18.40;"15/05/2026 17:38";CET;606608;11164337.485;18.40;15/05/2026
GEVELOT;FR0000033888;ALGEV;"Euronext Growth Paris";EUR;210.00;210.00;210.00;210.00;"15/05/2026 11:30";CET;100;21000.00;210.00;15/05/2026
"GL EVENTS";FR0000066672;GLO;"Euronext Paris";EUR;35.35;35.35;34.65;34.65;"15/05/2026 17:35";CET;10367;361643.175;34.65;15/05/2026
"GLASS TO POWER";IT0005613739;MLGL;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-;4.50;15/05/2026
"GLOBAL PIELAGO";ES0105537007;MLNDG;"Euronext Access Paris";EUR;4.92;4.92;4.92;4.92;"16/04/2021 00:00";CET;-;-;4.92;15/05/2026
"GOLD BY GOLD";FR0011208693;ALGLD;"Euronext Growth Paris";EUR;3.55;3.55;3.55;3.55;"15/05/2026 16:30";CET;6852;24324.60;3.55;15/05/2026
"GOLD BY GOLD DS";FR0014018EW2;GLDDS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0622;15/05/2026
"GPE GROUP PIZZORNO";FR0010214064;GPE;"Euronext Paris";EUR;60.80;61.00;60.80;61.00;"15/05/2026 17:35";CET;286;17389.00;61.00;15/05/2026
"GRAINES VOLTZ";FR0000065971;GRVO;"Euronext Paris";EUR;19.50;19.50;18.85;19.50;"15/05/2026 14:51";CET;400;7585.45;19.50;15/05/2026
GROLLEAU;FR0014005ZM5;ALGRO;"Euronext Growth Paris";EUR;2.70;2.80;2.70;2.80;"14/05/2026 16:21";CET;117;326.10;2.80;15/05/2026
"GROUPE CARNIVOR";FR0000076960;MLGRC;"Euronext Access Paris";EUR;23.80;23.80;23.80;23.80;"11/03/2026 16:30";CET;9;214.20;23.80;15/05/2026
"GROUPE CRIT";FR0000036675;CEN;"Euronext Paris";EUR;56.80;56.80;55.80;55.80;"15/05/2026 17:35";CET;295;16553.20;55.80;15/05/2026
"GROUPE GUILLIN";FR0012819381;ALGIL;"Euronext Growth Paris";EUR;23.10;23.20;22.90;22.90;"15/05/2026 17:37";CET;1007;23257.80;22.90;15/05/2026
"GROUPE JAJ";FR0004010338;GJAJ;"Euronext Paris";EUR;1.07;1.07;1.07;1.07;"15/05/2026 11:43";CET;1;1.07;1.07;15/05/2026
"GROUPE LDLC";FR0000075442;ALLDL;"Euronext Growth Paris";EUR;12.80;12.80;12.22;12.80;"15/05/2026 17:35";CET;4874;60767.32;12.80;15/05/2026
"GROUPE OKWIND";FR0013439627;ALOKW;"Euronext Growth Paris";EUR;0.398;0.437;0.398;0.398;"15/05/2026 17:35";CET;10474;4308.133;0.398;15/05/2026
"GROUPE PARTOUCHE";FR0012612646;PARP;"Euronext Paris";EUR;18.00;18.15;18.00;18.05;"15/05/2026 16:54";CET;1675;30164.15;18.05;15/05/2026
"GROUPE SFPI";FR0004155000;SFPI;"Euronext Paris";EUR;1.97;1.98;1.915;1.925;"15/05/2026 17:35";CET;78665;153916.635;1.925;15/05/2026
"GROUPE TERA";FR0013429404;ALGTR;"Euronext Growth Paris";EUR;4.60;4.60;4.40;4.40;"15/05/2026 17:15";CET;32;146.80;4.40;15/05/2026
GROUPIMO;FR0014000RP6;ALIMO;"Euronext Growth Paris";EUR;0.304;0.33;0.304;0.33;"15/05/2026 16:37";CET;3201;1027.73;0.33;15/05/2026
GTT;FR0011726835;GTT;"Euronext Paris";EUR;207.80;210.60;206.60;209.40;"15/05/2026 17:35";CET;113363;23718013.00;209.40;15/05/2026
GUERBET;FR0000032526;GBT;"Euronext Paris";EUR;10.00;10.02;9.89;9.93;"15/05/2026 17:35";CET;8255;82251.55;9.93;15/05/2026
GUILLEMOT;FR0000066722;GUI;"Euronext Paris";EUR;4.62;4.78;4.50;4.78;"15/05/2026 17:35";CET;12276;57043.99;4.78;15/05/2026
"HAFFNER ENERGY";FR0014007ND6;ALHAF;"Euronext Growth Paris";EUR;0.1578;0.1596;0.1422;0.148;"15/05/2026 17:35";CET;15650904;2358714.2672;0.148;15/05/2026
"HAFFNER ENERGY BSA";FR001400Y4X9;HAFBS;"Euronext Growth Paris";EUR;0.005;0.007;0.005;0.0055;"15/05/2026 11:12";CET;100541;661.7055;0.0055;15/05/2026
"HAMILTON GLOBAL OP";GB00BMDXQ672;ALHGO;"Euronext Growth Paris";EUR;44.00;44.00;44.00;44.00;"15/05/2026 17:28";CET;11;484.00;44.00;15/05/2026
"HAULOTTE GROUP";FR0000066755;PIG;"Euronext Paris";EUR;2.17;2.18;2.16;2.18;"15/05/2026 17:00";CET;2207;4770.02;2.18;15/05/2026
HDF;FR0014003VY4;HDF;"Euronext Paris";EUR;3.78;3.835;3.78;3.805;"15/05/2026 17:35";CET;1072;4084.495;3.805;15/05/2026
"HEALTHCARE ACTIVOS";ES0105498002;MLHAY;"Euronext Access Paris";EUR;1.28141;1.28141;1.28141;1.28141;"30/09/2020 00:00";CET;-;-;1.40;15/05/2026
HERIGE;FR0000066540;ALHRG;"Euronext Growth Paris";EUR;18.90;19.70;18.85;19.70;"15/05/2026 17:35";CET;1316;25254.00;19.70;15/05/2026
"HERMES INTL";FR0000052292;RMS;"Euronext Paris";EUR;1578.00;1598.00;1570.00;1575.50;"15/05/2026 17:35";CET;102920;162244189.00;1575.50;15/05/2026
HEXAOM;FR0004159473;ALHEX;"Euronext Growth Paris";EUR;31.50;31.50;30.60;30.80;"15/05/2026 17:35";CET;6153;190110.80;30.80;15/05/2026
"HF COMPANY";FR0000038531;ALHF;"Euronext Growth Paris";EUR;4.66;4.76;4.64;4.72;"15/05/2026 17:29";CET;2514;11769.88;4.72;15/05/2026
"HIGH CO";FR0000054231;HCO;"Euronext Paris";EUR;3.615;3.64;3.60;3.605;"15/05/2026 17:35";CET;6456;23328.525;3.605;15/05/2026
"HIPAY GROUP";FR0012821916;ALHYP;"Euronext Growth Paris";EUR;5.64;5.66;5.64;5.66;"15/05/2026 13:49";CET;247;1393.44;5.66;15/05/2026
HITECHPROS;FR0010396309;ALHIT;"Euronext Growth Paris";EUR;12.80;12.80;12.80;12.80;"13/05/2026 16:30";CET;375;4800.00;12.80;15/05/2026
HK;DE000A11Q133;MLHK;"Euronext Access Paris";EUR;34.60;34.60;34.60;34.60;"15/05/2026 11:30";CET;70;2422.00;34.60;15/05/2026
"HOCHE BAINS L.BAIN";FR0000051302;MLHBB;"Euronext Access Paris";EUR;69.50;69.50;69.50;69.50;"11/05/2026 16:30";CET;1;69.50;69.50;15/05/2026
HOFFMANN;FR0013451044;ALHGR;"Euronext Growth Paris";EUR;4.075;4.095;3.975;4.00;"15/05/2026 17:35";CET;12397;49704.4725;4.00;15/05/2026
"HOME CONCEPT";FR0012336691;MLHCF;"Euronext Access Paris";EUR;16.40;16.40;16.40;16.40;"06/11/2025 11:35";CET;10;164.00;16.40;15/05/2026
HOPENING;FR0010312181;MLHPE;"Euronext Access Paris";EUR;5.45;5.45;5.45;5.45;"11/05/2026 16:30";CET;4;21.80;5.45;15/05/2026
HOPIUM;FR0014010QE1;ALHPI;"Euronext Growth Paris";EUR;0.0085;0.0097;0.0074;0.0077;"15/05/2026 17:36";CET;37118250;306092.3304;0.0077;15/05/2026
"HOPSCOTCH GROUPE";FR0000065278;ALHOP;"Euronext Growth Paris";EUR;14.95;14.95;14.55;14.55;"15/05/2026 17:35";CET;322;4688.65;14.55;15/05/2026
"HOT.MAJESTIC CANNE";FR0006226791;MLHMC;"Euronext Access Paris";EUR;6000.00;6000.00;6000.00;6000.00;"12/05/2026 11:59";CET;10;60000.00;6000.00;15/05/2026
"HOTELES BESTPRICE";ES0105664009;MLHBP;"Euronext Access Paris";EUR;3.96;3.96;3.96;3.96;"14/05/2026 16:30";CET;1;3.96;3.96;15/05/2026
HOTELIM;FR0000053738;MLHOT;"Euronext Access Paris";EUR;49.00;49.00;49.00;49.00;"20/04/2026 16:45";CET;24;1176.00;49.00;15/05/2026
"HOTELS DE PARIS";FR0004165801;HDP;"Euronext Paris";EUR;1.89;1.89;1.89;1.89;"14/05/2026 11:30";CET;385;727.65;1.89;15/05/2026
HOTL.IMMOB.NICE;FR0006563904;MLHIN;"Euronext Access Paris";EUR;256.00;256.00;256.00;256.00;"08/05/2026 16:30";CET;10;2560.00;256.00;15/05/2026
HUNYVERS;FR0014007LQ2;ALHUN;"Euronext Growth Paris";EUR;7.50;7.50;7.50;7.50;"15/05/2026 09:00";CET;67;502.50;7.50;15/05/2026
HYDRAULIQUEHOLDING;FR0000064735;MLHYD;"Euronext Access Paris";EUR;760.00;760.00;760.00;760.00;"12/03/2026 17:23";CET;1;760.00;760.00;15/05/2026
HYDRO-EXPLOIT.;FR0005843125;MLHYE;"Euronext Access Paris";EUR;116.00;116.00;116.00;116.00;"07/05/2026 11:30";CET;1;116.00;116.00;15/05/2026
"HYDROGEN REFUELING";FR0014001PM5;ALHRS;"Euronext Growth Paris";EUR;1.75;1.778;1.74;1.752;"15/05/2026 17:35";CET;16777;29483.914;1.752;15/05/2026
I2S;FR0005854700;ALI2S;"Euronext Growth Paris";EUR;6.50;6.50;6.50;6.50;"15/05/2026 16:30";CET;112;728.00;6.50;15/05/2026
"IANTE INVESTMENTS";ES0105479002;MLINT;"Euronext Access Paris";EUR;4.62;4.62;4.62;4.62;"20/05/2022 16:30";CET;700;3234.00;4.62;15/05/2026
ICADE;FR0000035081;ICAD;"Euronext Paris";EUR;20.12;20.12;19.76;19.93;"15/05/2026 17:35";CET;86398;1723672.37;19.93;15/05/2026
"ICAPE HOLDING";FR001400A3Q3;ALICA;"Euronext Growth Paris";EUR;6.82;6.82;6.64;6.78;"15/05/2026 17:35";CET;2941;19788.06;6.78;15/05/2026
"ID LOGISTICS GROUP";FR0010929125;IDL;"Euronext Paris";EUR;353.00;354.50;349.50;354.00;"15/05/2026 17:35";CET;5807;2050506.50;354.00;15/05/2026
IDI;FR0000051393;IDIP;"Euronext Paris";EUR;72.40;72.80;72.00;72.40;"15/05/2026 17:35";CET;84;6056.40;72.40;15/05/2026
IDS;FR0000079691;MLIDS;"Euronext Access Paris";EUR;0.57;0.57;0.57;0.57;"15/05/2026 16:30";CET;3010;1715.70;0.57;15/05/2026
"IEVA GROUP";FR0014015ND9;ALIEV;"Euronext Growth Paris";EUR;8.20;8.20;7.50;7.68;"15/05/2026 16:55";CET;1567;12162.92;7.68;15/05/2026
"IGIS NEPTUNE";ES0105551008;MLABC;"Euronext Access Paris";EUR;11.43;11.43;11.43;11.43;"31/08/2021 00:00";CET;-;-;9.80;15/05/2026
IKONISYS;FR00140048X2;ALIKO;"Euronext Growth Paris";EUR;1.47;1.56;1.38;1.38;"15/05/2026 17:29";CET;17492;25925.45;1.38;15/05/2026
IMALLIANCE;FR0010086371;MLIML;"Euronext Access Paris";EUR;0.18;0.18;0.18;0.18;"13/05/2026 16:30";CET;245;44.10;0.18;15/05/2026
"IMEON ENERGY";FR001400QW73;MLIME;"Euronext Access Paris";EUR;-;-;-;-;-;CET;-;-;5.45;15/05/2026
IMERYS;FR0000120859;NK;"Euronext Paris";EUR;22.60;22.70;21.82;21.82;"15/05/2026 17:35";CET;80131;1768357.44;21.82;15/05/2026
IMM.PARIS.PERLE;FR0006859039;MLIPP;"Euronext Access Paris";EUR;161.00;161.00;161.00;161.00;"26/03/2026 11:30";CET;1;161.00;161.00;15/05/2026
IMMERSION;FR0013060100;ALIMR;"Euronext Growth Paris";EUR;2.32;2.32;2.32;2.32;"15/05/2026 16:30";CET;140;324.80;2.32;15/05/2026
IMMOB.DASSAULT;FR0000033243;IMDA;"Euronext Paris";EUR;49.90;50.00;49.70;50.00;"15/05/2026 14:35";CET;631;31467.50;50.00;15/05/2026
IMPLANET;FR0013470168;ALIMP;"Euronext Growth Paris";EUR;0.195;0.195;0.186;0.1942;"15/05/2026 17:35";CET;23881;4520.7838;0.1942;15/05/2026
"IMPRIMERIE CHIRAT";FR0000065773;MLIMP;"Euronext Access Paris";EUR;3.88;3.88;3.88;3.88;"13/05/2026 11:30";CET;1;3.88;3.88;15/05/2026
"IMPULSE FITNESS";ES0105590006;MLIFS;"Euronext Access Paris";EUR;7.00;7.00;7.00;7.00;"18/02/2026 16:30";CET;50;350.00;7.00;15/05/2026
INFOCLIP;FR0011158823;MLIFC;"Euronext Access Paris";EUR;2.00;2.00;2.00;2.00;"02/02/2026 12:49";CET;15;30.00;2.00;15/05/2026
INFOTEL;FR0000071797;INF;"Euronext Paris";EUR;39.75;41.00;39.75;40.15;"15/05/2026 17:35";CET;5429;218677.95;40.15;15/05/2026
INMARK;ES0105511002;MLINM;"Euronext Access Paris";EUR;17.90;17.90;17.90;17.90;"08/04/2021 00:00";CET;-;-;17.70;15/05/2026
INMOLECULE;ES0105908000;MLINA;"Euronext Access Paris";EUR;3.98;3.98;3.98;3.98;"13/05/2026 16:30";CET;10;39.80;3.98;15/05/2026
INMOSUPA;ES0105473005;MLISP;"Euronext Access Paris";EUR;1.62;1.62;1.62;1.62;"06/04/2020 00:00";CET;-;-;1.62;15/05/2026
"INNATE PHARMA";FR0010331421;IPH;"Euronext Paris";EUR;1.98;2.20;1.72;1.74;"15/05/2026 17:35";CET;3564766;6950967.633;1.74;15/05/2026
"INNELEC MULTIMEDIA";FR0000064297;ALINN;"Euronext Growth Paris";EUR;2.50;2.50;2.36;2.50;"15/05/2026 16:09";CET;962;2400.80;2.50;15/05/2026
"INNOVATIVE RFK SPA";IT0005391161;MLIRF;"Euronext Access Paris";EUR;1.68;1.68;1.68;1.68;"13/05/2026 11:30";CET;1500;2520.00;1.68;15/05/2026
INSTALLUX;FR0000060451;ALLUX;"Euronext Growth Paris";EUR;296.00;296.00;296.00;296.00;"14/05/2026 11:30";CET;2;592.00;296.00;15/05/2026
INTEGRAGEN;FR0010908723;ALINT;"Euronext Growth Paris";EUR;0.245;0.264;0.222;0.23;"15/05/2026 17:35";CET;54901;12716.925;0.23;15/05/2026
"INTEGRITAS VIAGER";FR0014003FN0;MLVIE;"Euronext Access Paris";EUR;115.00;115.00;115.00;115.00;"14/08/2023 11:30";CET;2;230.00;115.00;15/05/2026
INTERPARFUMS;FR0004024222;ITP;"Euronext Paris";EUR;22.32;22.48;22.14;22.22;"15/05/2026 17:35";CET;33124;737100.86;22.22;15/05/2026
INTEXA;FR0000064958;ITXT;"Euronext Paris";EUR;2.50;2.50;2.50;2.50;"06/02/2026 16:30";CET;116;290.00;2.50;15/05/2026
INTRASENSE;FR0011179886;ALINS;"Euronext Growth Paris";EUR;0.224;0.241;0.224;0.238;"15/05/2026 17:19";CET;14157;3286.983;0.238;15/05/2026
INVENTIVA;FR0013233012;IVA;"Euronext Paris";EUR;4.70;4.91;4.685;4.81;"15/05/2026 17:35";CET;235908;1132237.99;4.81;15/05/2026
"INVIBES ADVERTSING";BE0974299316;ALINV;"Euronext Growth Paris";EUR;0.792;0.792;0.716;0.716;"15/05/2026 17:35";CET;3064;2218.45;0.716;15/05/2026
"IPOSA PROPERTIES";ES0105417002;MLIPO;"Euronext Access Paris";EUR;18.74;18.74;18.74;18.74;"05/08/2019 00:00";CET;-;-;18.60;15/05/2026
IPSEN;FR0010259150;IPN;"Euronext Paris";EUR;166.00;167.40;165.70;166.00;"15/05/2026 17:35";CET;72319;12017898.70;166.00;15/05/2026
IPSOS;FR0000073298;IPS;"Euronext Paris";EUR;36.52;36.90;36.22;36.48;"15/05/2026 17:35";CET;47183;1721464.06;36.48;15/05/2026
ISPD;ES0109429037;ALISP;"Euronext Growth Paris";EUR;1.935;1.94;1.935;1.94;"15/05/2026 14:55";CET;5;9.695;1.94;15/05/2026
"IT LINK";FR0000072597;ALITL;"Euronext Growth Paris";EUR;17.30;17.40;16.75;16.95;"15/05/2026 17:08";CET;2812;47870.30;16.95;15/05/2026
"ITALY INNOVAZIONI";IT0005336521;MLITN;"Euronext Access Paris";EUR;8.05;8.05;8.05;8.05;"22/01/2026 11:30";CET;1;8.05;8.05;15/05/2026
"JACQUES BOGART";FR0012872141;JBOG;"Euronext Paris";EUR;2.88;2.88;2.87;2.87;"15/05/2026 13:50";CET;2934;8422.42;2.87;15/05/2026
"JACQUET METALS";FR0000033904;JCQ;"Euronext Paris";EUR;21.85;21.85;21.40;21.40;"15/05/2026 17:35";CET;1836;39732.05;21.40;15/05/2026
JCDECAUX;FR0000077919;DEC;"Euronext Paris";EUR;18.74;18.87;18.62;18.65;"15/05/2026 17:38";CET;181243;3386553.03;18.65;15/05/2026
KALEON;IT0005678104;ALKLN;"Euronext Growth Paris";EUR;4.00;4.00;3.905;3.92;"15/05/2026 17:19";CET;1082;4234.90;3.92;15/05/2026
KALRAY;FR0010722819;ALKAL;"Euronext Growth Paris";EUR;9.20;9.20;8.32;8.34;"15/05/2026 17:35";CET;417805;3640292.865;8.34;15/05/2026
"KAUFMAN ET BROAD";FR0004007813;KOF;"Euronext Paris";EUR;25.05;25.05;24.35;24.35;"15/05/2026 17:37";CET;52475;1292065.10;24.35;15/05/2026
KERING;FR0000121485;KER;"Euronext Paris";EUR;241.50;242.80;236.35;236.85;"15/05/2026 17:39";CET;206537;49084383.40;236.85;15/05/2026
KERLINK;FR0013156007;ALKLK;"Euronext Growth Paris";EUR;0.88;0.89;0.822;0.878;"15/05/2026 16:23";CET;6403;5461.154;0.878;15/05/2026
KEYRUS;FR0004029411;ALKEY;"Euronext Growth Paris";EUR;6.92;6.92;6.88;6.88;"15/05/2026 17:29";CET;304;2096.16;6.88;15/05/2026
"KKO INTERNATIONAL";FR0013374667;ALKKO;"Euronext Growth Paris";EUR;0.065;0.066;0.064;0.064;"15/05/2026 17:00";CET;84325;5430.6188;0.064;15/05/2026
KLARSEN;FR0011038348;ALKLA;"Euronext Growth Paris";EUR;0.578;0.578;0.57;0.57;"15/05/2026 11:15";CET;30;17.21;0.57;15/05/2026
"KLARSEN BSA O";FR0014013TD1;KLBSO;"Euronext Growth Paris";EUR;0.22;0.22;0.22;0.22;"08/04/2026 14:19";CET;30;6.60;0.22;15/05/2026
"KLARSEN BSA P";FR0014013TC3;KLBSP;"Euronext Growth Paris";EUR;0.304;0.304;0.304;0.304;"10/04/2026 10:56";CET;40;12.16;0.304;15/05/2026
"KLEA HOLDING";FR0013481835;ALKLH;"Euronext Growth Paris";EUR;0.19;0.20;0.19;0.199;"15/05/2026 17:35";CET;478637;94312.511;0.199;15/05/2026
KLEPIERRE;FR0000121964;LI;"Euronext Paris";EUR;34.10;34.11;33.76;33.94;"15/05/2026 17:38";CET;370983;12589562.95;33.94;15/05/2026
KOMPUESTOS;ES0105425005;ALKOM;"Euronext Growth Paris";EUR;0.77;0.77;0.77;0.77;"15/05/2026 09:00";CET;1;0.77;0.77;15/05/2026
"KUMULUS VAPE";FR0013419876;ALVAP;"Euronext Growth Paris";EUR;2.99;3.00;2.99;3.00;"15/05/2026 17:35";CET;288;862.66;3.00;15/05/2026
L'OREAL;FR0000120321;OR;"Euronext Paris";EUR;353.60;357.65;352.40;357.10;"15/05/2026 17:35";CET;493314;175833957.10;357.10;15/05/2026
"LABO EUROMEDIS";FR0000075343;ALEMG;"Euronext Growth Paris";EUR;4.92;5.10;4.88;5.00;"15/05/2026 17:29";CET;2321;11442.22;5.00;15/05/2026
"LACROIX GROUP";FR0000066607;LACR;"Euronext Paris";EUR;16.85;17.10;16.70;16.80;"15/05/2026 17:38";CET;10667;180620.95;16.80;15/05/2026
"LAGARDERE SA";FR0000130213;MMB;"Euronext Paris";EUR;17.60;17.78;17.50;17.78;"15/05/2026 17:35";CET;20360;359923.66;17.78;15/05/2026
LANSON-BCC;FR0004027068;ALLAN;"Euronext Growth Paris";EUR;26.80;27.00;26.70;27.00;"15/05/2026 16:31";CET;577;15469.60;27.00;15/05/2026
LARGO;FR0013308582;ALLGO;"Euronext Growth Paris";EUR;1.52;1.525;1.485;1.485;"15/05/2026 17:35";CET;6263;9358.855;1.485;15/05/2026
LATECOERE;FR001400JY13;LAT;"Euronext Paris";EUR;0.0151;0.0151;0.0149;0.0151;"15/05/2026 16:53";CET;761141;11391.6389;0.0151;15/05/2026
LAURENT-PERRIER;FR0006864484;LPE;"Euronext Paris";EUR;84.20;84.60;83.40;84.40;"15/05/2026 17:35";CET;381;32033.20;84.40;15/05/2026
LDC;FR001400SF56;LOUP;"Euronext Paris";EUR;114.60;115.00;112.40;112.40;"15/05/2026 17:35";CET;4814;544699.60;112.40;15/05/2026
LEBON;FR0000121295;ALBON;"Euronext Growth Paris";EUR;107.00;110.50;106.50;108.50;"15/05/2026 17:07";CET;1328;144223.50;108.50;15/05/2026
LECTRA;FR0000065484;LSS;"Euronext Paris";EUR;16.00;16.24;15.92;16.00;"15/05/2026 17:35";CET;68057;1094182.54;16.00;15/05/2026
LEGRAND;FR0010307819;LR;"Euronext Paris";EUR;152.30;152.80;150.65;152.10;"15/05/2026 17:35";CET;430880;65508503.475;152.10;15/05/2026
LEPERMISLIBRE;FR001400F2Z1;ALLPL;"Euronext Growth Paris";EUR;0.0702;0.0758;0.0702;0.0758;"15/05/2026 17:35";CET;41034;3081.9856;0.0758;15/05/2026
"LES HOTELS BAVEREZ";FR0007080254;ALLHB;"Euronext Growth Paris";EUR;76.00;76.00;76.00;76.00;"06/05/2026 11:30";CET;6;456.00;76.00;15/05/2026
"LEXIBOOK LINGUIST.";FR0000033599;ALLEX;"Euronext Growth Paris";EUR;5.88;6.22;5.88;6.22;"15/05/2026 10:58";CET;1121;6628.46;6.22;15/05/2026
LHYFE;FR0014009YQ1;LHYFE;"Euronext Paris";EUR;2.28;2.28;2.25;2.255;"15/05/2026 17:35";CET;6988;15848.585;2.255;15/05/2026
LIGHTON;FR0013230950;ALTAI;"Euronext Growth Paris";EUR;3.85;3.905;3.785;3.79;"15/05/2026 17:35";CET;6609;25255.07;3.79;15/05/2026
"LINEDATA SERVICES";FR0004156297;LIN;"Euronext Paris";EUR;40.40;40.60;40.40;40.60;"15/05/2026 16:04";CET;138;5577.30;40.60;15/05/2026
LISI;FR0000050353;FII;"Euronext Paris";EUR;63.30;64.80;62.70;64.20;"15/05/2026 17:37";CET;24486;1569090.20;64.20;15/05/2026
LLEIDA;ES0105089009;ALLLN;"Euronext Growth Paris";EUR;1.10;1.10;1.08;1.08;"15/05/2026 16:13";CET;8001;8793.80;1.08;15/05/2026
"LNA SANTE";FR0004170017;LNA;"Euronext Paris";EUR;29.80;30.20;29.70;30.20;"15/05/2026 17:35";CET;1450;43350.00;30.20;15/05/2026
"LOCASYSTEM INTL";FR0004155208;MLLOI;"Euronext Access Paris";EUR;11.50;11.50;11.50;11.50;"30/04/2026 11:30";CET;2;23.00;11.50;15/05/2026
"LOGIC INSTRUMENT";FR0000044943;ALLOG;"Euronext Growth Paris";EUR;1.86;1.88;1.85;1.86;"15/05/2026 17:35";CET;13258;24628.996;1.86;15/05/2026
"LOMBARD ET MEDOT";FR0006205019;MLCAC;"Euronext Access Paris";EUR;13.20;13.20;13.20;13.20;"13/05/2026 16:30";CET;11;145.20;13.20;15/05/2026
"LOUIS HACHETTE";FR001400TL40;ALHG;"Euronext Growth Paris";EUR;1.576;1.58;1.564;1.576;"15/05/2026 17:35";CET;896674;1409993.203;1.576;15/05/2026
LUCIBEL;FR0014013HG9;ALUCI;"Euronext Growth Paris";EUR;4.9495;4.9495;4.85;4.85;"15/05/2026 17:07";CET;116;569.167;4.85;15/05/2026
LUMIBIRD;FR0000038242;LBIRD;"Euronext Paris";EUR;24.05;24.30;23.35;23.50;"15/05/2026 17:35";CET;42881;1020618.825;23.50;15/05/2026
LVMH;FR0000121014;MC;"Euronext Paris";EUR;454.50;459.80;452.80;455.60;"15/05/2026 17:39";CET;530300;241555846.25;455.60;15/05/2026
"MAAT PHARMA";FR0012634822;MAAT;"Euronext Paris";EUR;7.20;7.29;7.06;7.24;"15/05/2026 17:37";CET;76799;551991.33;7.24;15/05/2026
MACOMPTA.FR;FR001400NQB6;ALCPA;"Euronext Growth Paris";EUR;5.45;5.45;5.20;5.20;"15/05/2026 15:26";CET;1640;8818.10;5.20;15/05/2026
MAGILLEM;FR0010827741;MLMGL;"Euronext Access Paris";EUR;2.34;2.34;2.34;2.34;"14/04/2026 16:30";CET;3;7.02;2.34;15/05/2026
"MAISON CLIO BLUE";FR0011092089;MLCLI;"Euronext Access Paris";EUR;1.90;1.90;1.90;1.90;"21/11/2025 11:30";CET;2;3.80;1.90;15/05/2026
"MAISON POMMERY";FR0000062796;POMRY;"Euronext Paris, Brussels";EUR;9.70;9.70;9.60;9.60;"15/05/2026 16:47";CET;1484;14346.98;9.60;15/05/2026
"MAISONS DU MONDE";FR0013153541;MDM;"Euronext Paris";EUR;0.541;0.541;0.51;0.52;"15/05/2026 17:35";CET;46713;24178.274;0.52;15/05/2026
"MAKING SCIENCE";ES0105463006;ALMKS;"Euronext Growth Paris";EUR;8.15;8.15;8.15;8.15;"15/05/2026 11:30";CET;1;8.15;8.15;15/05/2026
"MALTERIES FCO-BEL.";FR0000030074;MALT;"Euronext Paris";EUR;865.00;865.00;865.00;865.00;"15/05/2026 16:40";CET;4;3460.00;865.00;15/05/2026
"MANITOU BF";FR0000038606;MTU;"Euronext Paris";EUR;21.70;21.70;21.00;21.40;"15/05/2026 17:35";CET;10628;227024.05;21.40;15/05/2026
"MAQ ADMON. URBANAS";ES0105447009;MLMAQ;"Euronext Access Paris";EUR;8.30;8.30;8.30;8.30;"27/01/2020 11:30";CET;1;8.30;8.30;15/05/2026
"MARE NOSTRUM";FR0013400835;ALMAR;"Euronext Growth Paris";EUR;0.62;0.648;0.62;0.64;"15/05/2026 17:35";CET;15074;9549.384;0.64;15/05/2026
"MAROC TELECOM";MA0000011488;IAM;"Euronext Paris";EUR;9.20;9.26;9.20;9.26;"15/05/2026 13:48";CET;186;1715.10;9.26;15/05/2026
MASTRAD;FR0004155687;ALMAS;"Euronext Growth Paris";EUR;0.0054;0.0058;0.0054;0.0058;"15/05/2026 09:34";CET;17279;94.9066;0.0058;15/05/2026
"MASTRAD BS29";FR0013472446;MASBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-;0.0785;15/05/2026
"MAUNA KEA BSA";FR00140140W9;MKTBS;"Euronext Growth Paris";EUR;0.07;0.0785;0.07;0.078;"15/05/2026 16:46";CET;260746;18334.653;0.078;15/05/2026
